CountryName,"Adolescent fertility rate (births per 1,000 women ages 15-19)",GDP per capita (current US$),GNI (current US$),"Incidence of tuberculosis (per 100,000 people)",Improved water source (% of population with access),"Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000)","Mortality rate, infant (per 1,000 live births)","Population, ages 0-14 (% of total)",Population ages 65 and above (% of total),"Tuberculosis case detection rate (%, all forms)",Urban population (% of total),Rural population (% of total population),Mobile cellular subscriptions (per 100 people),Internet users (per 100 people),"GNI per capita, PPP (current international $)","Inflation, GDP deflator (annual %)"
Malta,18.0078,19694.083156714198,7975694505.33161,11.0,100.0,4.6,6.7,5.6,16.3042634153918,16.0567290517978,65.0,94.665,5.33499999999999,107.261182187607,63.0,26060.0,1.35992535047144
Mauritania,84.4308,1207.82745747508,4255599515.82575,135.0,54.3,39.1,97.8,70.1,40.991507490115296,3.15233613632567,51.0,56.681999999999995,43.318000000000005,76.911248898715,4.0,3190.0,18.877565919649104
Mauritius,31.4426,7772.10005652754,9835241226.07554,22.0,99.7,9.1,15.2,13.3,21.9446116073468,7.627222543192801,45.0,40.579,59.42100000000001,96.76929189970579,28.33,15470.0,1.78236207608411
Mexico,68.0516,8851.35051405824,1037742032526.12,21.0,94.1,7.7,16.8,14.4,29.972560045123807,5.8782494413853215,83.0,77.825,22.175,77.5182632596037,31.05,14410.0,4.46173575468363
"Micronesia, Fed. Sts.",21.304000000000002,2838.4485470811305,305079100.0,206.0,89.2,21.2,40.7,32.9,36.899603354597104,3.8458197820863,77.0,22.298000000000002,77.702,26.556905586813198,20.0,3390.0,3.36820334543717
Moldova,26.2568,1631.5358317953198,6296583476.833771,165.0,87.4,12.9,17.2,14.7,16.5160682514776,10.147085934743801,61.0,44.886,55.114,71.3846870326088,32.3,4170.0,11.0770996612454
Mongolia,19.0308,2650.34688488399,6591134598.49708,214.0,62.9,14.9,30.0,25.0,26.953721019649702,3.81253509013488,77.0,67.567,32.433,92.5437694314748,10.2,6920.0,39.1781885246703
Montenegro,15.4848,6682.28115774574,4110399867.54967,20.0,98.9,4.5,6.8,6.3,19.7782143959662,12.798093743568597,87.0,63.096000000000004,36.904,188.685939510836,37.5,13340.0,2.3140295203868
Morocco,33.1186,2857.6734140278004,90750962315.2592,100.0,83.5,21.1,33.1,28.5,28.078211922677003,6.03811124788327,88.0,57.684,42.316,101.07425299503599,52.0,6200.0,0.97563228221216
Mozambique,161.6826,417.501231533203,9813293357.379221,545.0,48.5,30.6,102.8,71.9,45.8867739708193,3.27798618314684,33.0,30.955,69.045,30.141845554759804,4.17,870.0,7.64351737433893
Namibia,79.77600000000001,5143.13067579247,10849382546.5771,928.0,87.3,17.1,53.8,37.5,38.0967185635949,3.42594487799519,55.0,41.61600000000001,58.38399999999999,89.4952516490612,11.6,7900.0,3.5641408022071097
Nepal,82.5352,595.427519830012,16124973167.3285,163.0,87.0,26.7,45.4,36.3,37.172426905730795,4.971608403213129,80.0,16.822,83.178,34.252985619914696,7.93,1970.0,15.1469324454054
Netherlands,4.8164,50341.251919715985,843213245033.1129,6.6,100.0,2.8,4.4,3.7,17.3708484905004,15.553257115638699,93.0,87.061,12.939,115.43015049494,90.72,45110.0,0.8479691841823891
New Zealand,27.2258,33394.0729963486,137997550079.262,7.8,100.0,3.3,6.2,5.1,20.5091431112694,13.003169813324599,89.0,86.165,13.835,107.826313100142,80.46,29470.0,3.0644258883428104
Nicaragua,97.552,1523.48146924241,8500418211.87091,49.0,85.0,11.8,26.1,22.0,32.7888315258216,4.73450961897422,86.0,57.255,42.745,68.05401523717201,10.0,3830.0,6.130308623026791
Niger,210.368,351.00621834678594,5674417311.322761,113.0,54.0,30.8,123.6,66.1,49.9630738786361,2.51944053488862,55.0,17.559,82.441,23.082192203147105,0.83,800.0,2.55467739332144
Nigeria,119.5004,2314.96353665347,349387871297.68896,339.0,63.4,38.2,130.3,81.5,43.9232029618088,2.73345965333286,16.0,43.48,56.52,54.6609495166735,24.0,4750.0,103.822799111444
Norway,7.2306,87646.2700974708,433102312961.1861,7.5,100.0,1.9,3.2,2.6,18.803042411849198,15.0115992820651,81.0,79.102,20.898000000000003,114.475540102113,93.39,59400.0,5.9634426253797805
Oman,11.8208,19920.6495686354,50227828348.5045,13.0,91.7,5.3,11.7,10.0,26.4948040711379,2.7775145078704204,82.0,75.161,24.839000000000002,164.342285911642,35.8278,39300.0,15.6353297178761
Pakistan,41.1408,1043.3002050381199,184163841544.98105,276.0,90.5,50.0,91.8,73.5,36.1775091538411,4.4263094431875,56.0,36.598,63.402,57.2834198942732,8.0,4370.0,10.850235822336499
Panama,79.8886,7958.583689683159,30229000000.0,55.0,93.1,11.3,19.8,17.0,28.74288842498811,6.80214312585037,78.0,65.115,34.885,180.699203507871,40.1,15580.0,4.9992189429100495
Papua New Guinea,58.6406,1418.92359069215,9123670262.25132,415.0,39.1,27.1,66.1,50.3,38.954718914900106,2.7824538442182702,51.0,13.019,86.98100000000001,27.833405866354102,1.28,1990.0,9.88259185411897
Paraguay,63.2754,3225.59175373637,18618461418.1594,46.0,90.3,13.0,24.1,20.4,32.7025639960341,5.336466406661518,82.0,58.486999999999995,41.513000000000005,91.6581072154664,19.8,6640.0,6.1002637587344015
Peru,53.1626,5056.30313106415,137316730023.356,132.0,84.6,10.2,21.0,16.3,29.3617536864,6.198199310919678,80.0,76.915,23.085,99.4953290573742,34.77,8950.0,6.00853928873757
Philippines,55.8326,2145.2400070733897,265931207700.339,308.0,90.1,14.3,31.9,24.9,33.609925878102004,4.15412146630878,58.0,45.255,54.745,88.9836174315653,25.0,7360.0,4.22238886394099
Poland,15.2096,12597.4587924553,463566809272.709,22.0,97.6,3.6,5.8,5.0,14.9601596197216,13.4912116709089,84.0,60.891999999999996,39.108000000000004,122.915294566938,62.32,20190.0,2.32521937392313
Portugal,13.665,22539.9960076117,230302578807.947,28.0,99.6,2.1,3.9,3.1,14.932426451158399,18.788225080839695,87.0,60.567,39.433,115.303275078491,53.3,26020.0,0.643476629767449
Qatar,13.0986,70870.2265835221,112178571428.571,38.0,100.0,4.5,9.0,7.7,13.494378121259901,1.05833262060375,86.0,98.655,1.345,124.960322064247,69.0,112150.0,6.979329900781809
Romania,38.0012,8297.48362072379,165462522861.009,109.0,96.9,7.9,13.9,12.1,15.834980307739801,15.827994686198304,84.0,53.82899999999999,46.17100000000001,111.428889796828,39.93,16320.0,5.41708773668586
Russian Federation,27.8714,10674.997202418399,1477812912229.69,105.0,96.3,6.3,12.0,10.3,14.890818716445803,13.0871240473793,84.0,73.687,26.313000000000002,165.501098738289,43.0,19860.0,14.187038581907
Rwanda,34.1014,553.5974576106839,5656021422.97724,88.0,73.1,24.3,64.1,43.8,42.45244334163071,2.66602705021893,74.0,23.951999999999998,76.048,32.747520193357204,8.0,1290.0,2.63701987113221
Samoa,29.6202,3530.5739943531603,638091198.132571,17.0,97.6,10.2,18.7,16.0,38.275215154626395,5.05136295953855,45.0,20.078,79.922,48.3795537254944,7.0,5140.0,1.46654355575726
Sao Tome and Principe,90.3556,1142.18231129529,194807046.47230905,96.0,95.3,19.0,56.4,39.8,43.2952949438202,3.71371722846442,74.0,61.907,38.093,57.6396525798416,18.75,2710.0,10.720615527696301
Saudi Arabia,11.3454,18753.981233207902,533855466666.6671,16.0,97.0,9.3,17.0,14.7,30.4184378522858,2.77044526599903,99.0,82.084,17.916,189.168841868743,41.0,43930.0,17.1913540158982
Senegal,90.4944,998.119695502128,12799081587.0715,136.0,74.8,25.5,64.8,46.7,43.66782639312471,3.0913518632815804,63.0,42.23,57.77,64.4274411523699,8.0,2120.0,1.62077953491217
Serbia,21.1278,5411.87740391911,38568511840.5123,30.0,99.3,4.8,7.6,6.6,17.245082981143902,15.1064803070875,87.0,55.208,44.792,125.300783990167,40.9,11540.0,5.879330944261921
Seychelles,59.977,10805.0606310062,915708538.4245679,17.0,95.7,9.0,14.2,12.2,22.6662799067479,7.17009916094584,110.0,52.318999999999996,47.681000000000004,128.921805104815,41.0,18840.0,-4.2041084468292205
Sierra Leone,133.0578,446.341765694627,2606598522.53124,317.0,57.4,40.7,160.2,107.0,43.4703012620366,2.58385616653469,70.0,38.241,61.75899999999999,34.7706596828638,0.58,1330.0,17.1769187781791
Singapore,4.7298,46569.9730490708,235076347634.763,37.0,100.0,1.1,2.8,2.2,17.3422674440698,9.011193431097421,83.0,100.0,0.0,145.395650180184,71.0,70200.0,-0.0459876080012123
Slovak Republic,21.0692,16554.889115691,87170895364.2384,9.4,100.0,5.0,8.4,7.0,15.2305685184254,12.357422817084,80.0,54.685,45.315,109.04722001929899,75.71,23930.0,0.485321616355634
Slovenia,4.6708,23438.866561012597,47569460132.4503,9.6,99.5,1.8,3.3,2.7,13.9351418771437,16.6735364047396,86.0,50.04,49.96,103.29651178639999,70.0,27330.0,-0.98710951109048
